ID,RUT,genero,nacimiento,apellido,nombre,direccion,comuna,region,codigo_area,telefono,email
﻿2672,5549285-2,f,21/04/1958,Machado,Loreto,Yungay 249,Curico,07,75,2311535,mloreto@gmail.com
4360,10070741-6,f,12/02/1974,Castellano,Zoe,Los Araucanos 600,Talcahuano,08,41,2439012,zcastellano@yahoo.com
2525,28106452-4,m,21/04/2001,Quevedo,Esteban,Almarza 1029,Rancagua,06,72,2239547,equevedo@outlook.com
3846,6133114-1,m,25/03/1962,Rivera,Jeremias,La Plata 1668,Maipu,13,2,32543042,jrivera@yahoo.com
7837,6498992-3,m,09/06/1964,Bermudez,Leonardo,Arturo Prat 1815,Lampa,13,2,28421576,lbermudez@gmail.com
2670,18769274-7,f,27/05/1986,Robles,Andrea,Pedro Montt 1715,Villarrica,09,45,2943683,arobles@gmail.com
2617,8117916-3,f,23/09/1963,Zapata,Gloria,Lincoyan 490,Canela,04,53,2541087,azapata@yahoo.com
5427,19849397-5,m,02/10/1989,Del Valle,Patricio,Harry Barnes 210,Chillan,16,42,2333327,pdelvalle@gmail.com
8652,15524952-6,m,01/12/1978,Farre,Roman,Chivilcan 890,Temuco,09,45,2367369,efarre@hotmail.com
5122,14806774-1,f,04/09/1980,Vega,Susana,Los Tilos 55,Pucon,09,45,2443634,svega@outlook.com
2516,11627760-5,f,01/04/1975,King,Lucia,Ciro Arredondo 545,Aysen,11,67,2336624,lking@gmail.com
9441,4634692-4,f,07/11/1953,Onwunli,Lisa,Sarmiento 1458,Natales,12,61,411249,lonwunli@gmail.com
9332,7715274-3,f,16/02/1968,Simpson,Julia,Las Tranqueras 726,Las Condes,13,2,27275010,jsimpson@gmail.com
6944,13414433-5,m,20/01/1972,Alba,Angel,Las Garzas 590,Quilicura,13,2,29446210,aalba@yahoo.com
4666,18252619-3,m,16/01/1980,Grande,Vicente,Lo Espejo 1053,Pudahuel,13,2,6431875,vgrande@yahoo.com
2261,18318333-2,m,14/06/1982,Mestre,Julio,Serrano 750,Papudo,05,33,2325221,jmestre@gmail.com
3832,9139699-9,m,10/03/1961,Vasquez,Patricio,4 Oriente 1210,Talca,07,75,2454220,pvazquez@gmail.com
4046,25130330-7,m,20/09/1995,Encinas,Marco,Balmaceda 627,Talagante,13,9,72923026,mencinas@gmail.com
8836,7001686-7,m,28/05/1967,Tellez,Jose Miguel,Puren 121,Freire,09,45,2759625,jmtellez@gmail.com
1382,5803373-7,f,24/10/1958,Dockerson,Lizette,12 de Octubre 1620,Osorno,10,64,2213741,ldockerson@yahoo.com
4643,24512068-2,f,17/07/1993,Kroeger,Adriana,Los Acacios 901,Coronel,08,41,2710711,akroeger@gmail.com
3658,22250235-5,m,06/09/1990,Santos,Ezequiel,Magallanes 1255,Concon,05,32,2860779,esantos@outlook.com
2913,10967897-8,m,02/10/1969,Bautista,Victor,Las Rosas 505,Quilpue,05,32,3209234,vbautista@gmail.com
8948,12899360-0,m,19/08/1977,Iorio,Alberto,Francisco Cerda 1019,Recoleta,13,2,29457792,aiorio@yahoo.com
7540,81560341-7,f,20/06/1964,Kaminski,Teresa,Bueras 1819,Valdivia,14,63,2282034,tkaminski@gmail.com
7269,13541282-7,m,18/08/1979,Banas,Ricardo,Sarmiento 1498,Natales,12,61,411249,rbanas@hotmail.com
8879,12529097-0,f,24/05/1976,Arce,Belen,Urriola 424,Pichilemu,06,72,2843146,barce@yahoo.com
1091,27022285-4,f,26/03/2000,Sanford,Nelson,Colo Colo 392,Linares,07,73,2210244,nsanford@outlook.com
2858,23289620-4,f,21/09/1994,Garcia,Marina,Anker Nielsen 2250,Iquique,01,57,2544844,mgarcia@gmail.com
6390,22762588-0,f,19/11/1992,Pinilla,Rebecca,Los Cipreses 2767,La Pintana,13,2,443195403,rpinilla@gmail.com
