ID,RUT,genero,nacimiento,apellido,nombre,direccion,comuna,region,codigo_area,telefono,email
2672,5471695-2,f,21/04/1958,Machado,Loreto,Yungay 249,Curico,7,75,2311535,mloreto@gmail.com
4360,14940321-6,f,12/2/1974,Castellano,Zoe,Los Araucanos 600,Talcahuano,8,41,2439012,zcastellano@yahoo.com
2525,21052382-4,m,21/04/2001,Quevedo,Esteban,Almarza 1029,Rancagua,6,72,2239547,equevedo@outlook.com
3846,6083894-1,m,25/03/1962,Rivera,Jeremias,La Plata 1668,Maipu,13,2,32543042,jrivera@yahoo.com
7837,6002332-3,m,9/6/1964,Bermudez,Leonardo,Arturo Prat 1815,Lampa,13,2,28421576,lbermudez@gmail.com
2670,10743524-7,f,27/05/1986,Robles,Andrea,Pedro Montt 1715,Villarrica,9,45,2943683,arobles@gmail.com
2617,8934006-3,f,23/09/1963,Zapata,Gloria,Lincoyan 490,Canela,4,53,2541087,azapata@yahoo.com
5427,13927587-5,m,2/10/1989,Del Valle,Patricio,Harry Barnes 210,Chillan,16,42,2333327,pdelvalle@gmail.com
8652,17427762-6,m,1/12/1978,Farre,Roman,Chivilcan 890,Temuco,9,45,2367369,efarre@hotmail.com
5122,12355334-1,f,4/9/1980,Vega,Susana,Los Tilos 55,Pucon,9,45,2443634,svega@outlook.com
2516,10585850-5,f,1/4/1975,King,Lucia,Ciro Arredondo 545,Aysen,11,67,2336624,lking@gmail.com
9441,4038462-4,f,7/11/1953,Onwunli,Lisa,Sarmiento 1458,Natales,12,61,411249,lonwunli@gmail.com
9332,7847014-3,f,16/02/1968,Simpson,Julia,Las Tranqueras 726,Las Condes,13,2,27275010,jsimpson@gmail.com
6944,16431943-5,m,20/01/1972,Alba,Angel,Las Garzas 590,Quilicura,13,2,29446210,aalba@yahoo.com
4666,15500749-3,m,16/01/1980,Grande,Vicente,Lo Espejo 1053,Pudahuel,13,2,6431875,vgrande@yahoo.com
2261,12611263-2,m,14/06/1982,Mestre,Julio,Serrano 750,Papudo,5,33,2325221,jmestre@gmail.com
3832,9349369-9,m,10/3/1961,Vasquez,Patricio,4 Oriente 1210,Talca,7,75,2454220,pvazquez@gmail.com
4046,24260650-7,m,20/09/1995,Encinas,Marco,Balmaceda 627,Talagante,13,9,72923026,mencinas@gmail.com
8836,7140506-7,m,28/05/1967,Tellez,Jose Miguel,Puren 121,Freire,9,45,2759625,jmtellez@gmail.com
1382,5827503-7,f,24/10/1958,Dockerson,Lizette,12 de Octubre 1620,Osorno,10,64,2213741,ldockerson@yahoo.com
4643,22036988-2,f,17/07/1993,Kroeger,Adriana,Los Acacios 901,Coronel,8,41,2710711,akroeger@gmail.com
3658,21232025-5,m,6/9/1990,Santos,Ezequiel,Magallanes 1255,Concon,5,32,2860779,esantos@outlook.com
2913,12785107-8,m,2/10/1969,Bautista,Victor,Las Rosas 505,Quilpue,5,32,3209234,vbautista@gmail.com
8948,17573570-0,m,19/08/1977,Iorio,Alberto,Francisco Cerda 1019,Recoleta,13,2,29457792,aiorio@yahoo.com
7540,87569931-7,f,20/06/1964,Kaminski,Teresa,Bueras 1819,Valdivia,14,63,2282034,tkaminski@gmail.com
7269,12446852-7,m,18/08/1979,Banas,Ricardo,Sarmiento 1498,Natales,12,61,411249,rbanas@hotmail.com
8879,12536637-0,f,24/05/1976,Arce,Belen,Urriola 424,Pichilemu,6,72,2843146,barce@yahoo.com
1091,20059735-4,f,26/03/2000,Sanford,Nelson,Colo Colo 392,Linares,7,73,2210244,nsanford@outlook.com
2858,22616080-4,f,21/09/1994,Garcia,Marina,Anker Nielsen 2250,Iquique,1,57,2544844,mgarcia@gmail.com
6390,27105358-0,f,19/11/1992,Pinilla,Rebecca,Los Cipreses 2767,La Pintana,13,2,443195403,rpinilla@gmail.com
