ID,RUT,tc_tipo,tc_numero,tc_cvc,tc_expiracion
2672,5549285-2,m,5270426764505516,123,01/2025
4360,10070741-6,m,5370463888813020,713,02/2024
2525,28106452-4,v,4916976652406147,258,08/2023
3846,6133114-1,m,5180380736798221,612,03/2024
7837,6498992-3,v,4929381332664295,911,12/2023
2670,18769274-7,a,345389698201044,232,01/2024
2617,8117916-3,d,30204861594838,471,06/2023
5427,19849397-5,v,4916481158148111,731,02/2025
8652,15524952-6,m,5218014427039266,892,04/2023
5122,14806774-1,v,4916403492698783,33,11/2023
2516,11627760-5,v,4532175360711112,694,12/2022
9441,4634692-4,v,4539538574255825,680,11/2023
9332,7715274-3,m,5325325695196624,238,10/2023
6944,13414433-5,v,4532422069229909,311,07/2024
4666,18252619-3,v,4532006519685602,713,06/2023
2261,18318333-2,v,4556007212947415,953,02/2024
3832,9139699-9,m,5527124750467780,889,09/2023
4046,25130330-7,m,5299156156891938,584,09/2023
8836,7001686-7,m,5144869127761108,616,05/2023
1382,5803373-7,v,4532992930369308,991,04/2023
4643,24512068-2,v,4539003137030728,322,03/2024
3658,22250235-5,v,4716698449836160,767,05/2024
2913,10967897-8,m,5548024663365664,276,12/2023
8948,12899360-0,v,4916673475725015,347,02/2025
7540,81560341-7,m,5399070641280178,721,12/2023
7269,13541282-7,m,5293850200713058,701,12/2023
8879,12529097-0,m,5495860245086804,436,04/2024
1091,27022285-4,m,5413442801450036,496,10/2023
2858,23289620-4,v,4539821904847598,710,09/2024
6390,22762588-0,v,5252597142194116,173,08/2023
